Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Jonathan Taylor,IND,325.4,"1,600.20",14.8,42.5,354.3,2,2.3,291.6
Derrick Henry,TEN,366.2,"1,640.20",13,27.4,216,0.9,2,264.9
Austin Ekeler,LAC,221.1,983.8,9.5,74.5,665,5.3,1.5,250.7
Christian McCaffrey,CAR,237.4,"1,057.40",7.6,88.9,757.9,4.1,1.4,248.8
Joe Mixon,CIN,287.4,"1,204.20",9.8,47.1,341.9,2.6,1.6,225.4
Dalvin Cook,MIN,276.2,"1,241.80",9.8,44.9,334.1,1.5,2.5,220.4
Alvin Kamara,NO,219.5,964.2,8,60,529.2,4.1,1.2,219.2
Najee Harris,PIT,298.3,"1,183.10",7.7,60.7,397.3,2.1,1.6,213.6
Leonard Fournette,TB,230.6,961,9.1,61.1,417,2.1,1.3,202.5
James Conner,ARI,226.4,927.1,10.3,44.1,358.5,2.3,1.6,201
Nick Chubb,CLE,247.6,"1,230.00",8.4,25.3,206.2,1,1.6,197.1
Aaron Jones,GB,193.7,913.2,6.1,60.2,493,3.8,1.5,197
Javonte Williams,DEN,232.4,"1,025.20",7.8,45.9,345.8,2.7,1.7,196.4
Saquon Barkley,NYG,244.9,"1,027.20",6.6,57.4,424,2.2,1.5,195.1
D'Andre Swift,DET,216.1,900.8,6.5,64.7,477.4,2.4,1.8,187.6
David Montgomery,CHI,234.9,948.5,7.6,44.4,345.3,1.9,1.4,183.1
Ezekiel Elliott,DAL,229.9,962.6,7.9,40,273.8,1.8,2.1,177.7
J.K. Dobbins,BAL,197.4,965.3,8.4,33.1,241.6,1.4,1,177
Breece Hall,NYJ,212.5,965.4,6.6,38.6,308.7,1.6,1.8,172.5
Elijah Mitchell,SF,239,"1,027.50",7.3,25.8,196.7,1.3,1.2,172.1
Cam Akers,LAR,230.7,998.3,6.9,34.3,275.8,1.6,3.2,171.5
Damien Harris,NE,212.8,968.6,10,18.2,136,0.5,1.4,170.7
Josh Jacobs,LV,219.7,930.2,8,38,265.1,0.9,1.9,169.1
Travis Etienne Jr.,JAC,177.8,809.5,5.6,48.8,397.4,1.9,1.7,162.9
Miles Sanders,PHI,201.9,"1,033.50",5.6,30.7,216.6,1.1,1.6,162.3
Clyde Edwards-Helaire,KC,184.3,811,5.7,36.3,270.3,2.1,1.3,152.1
Rashaad Penny,SEA,189.5,958.3,6.7,19.2,143.9,0.5,1.2,151.2
Devin Singletary,BUF,183.6,847.7,6,33.1,222.3,1.3,1.3,148.1
AJ Dillon,GB,179.7,767.5,6.1,33.2,276.5,1.5,1.2,147.9
Tony Pollard,DAL,158.4,752.7,3.8,47.3,386.2,2,1.3,146.1
Antonio Gibson,WAS,190.5,789.5,6,31.1,229.5,1.3,1.8,142
Cordarrelle Patterson,ATL,138.2,604.6,4.5,43.4,397.4,2.8,0.9,142
Rhamondre Stevenson,NE,172,722.6,6.4,30.9,239.5,1.1,1,138.8
Melvin Gordon III,DEN,153.4,696.9,6.2,24,181.7,1.3,1.9,129.3
Chase Edmonds,MIA,151.1,657.1,3.6,46.1,329.2,1.6,0.9,128.1
Kareem Hunt,CLE,134,574.3,4.7,42.2,324.7,1.8,0.8,127.1
Dameon Pierce,HOU,183,676.3,4.7,26.4,206.3,0.9,1.4,118.8
Brian Robinson Jr.,WAS,154,652,5,19.4,145.5,0.6,1.2,111.2
James Robinson,JAC,144.5,583.4,4.9,23,169.6,0.7,1.2,106.7
Michael Carter,NYJ,134.4,553.2,3.2,32,268.4,1.1,0.8,106
Darrell Henderson Jr.,LAR,131.6,530.7,4,23.2,177.5,1.4,0.7,101.8
Ken Walker III,SEA,159.3,620.3,4.3,17.3,129,0.5,1.4,101.1
James Cook,BUF,110.2,474.4,3.6,29.2,235,1.6,1,100.4
Jamaal Williams,DET,137.7,552.6,3.4,22.8,149.2,0.8,0.8,93.9
Raheem Mostert,MIA,114.2,565.2,3.8,15,120.2,0.8,1.3,93.8
Kenneth Gainwell,PHI,91.9,382.3,4,30.8,246.1,1.3,1.1,92.4
Alexander Mattison,MIN,115.5,464.9,2.9,25.4,189.3,1,0.9,86.4
Mark Ingram II,NO,123.6,488.1,3.4,19.6,147.8,0.7,1,86.3
Marlon Mack,HOU,108.7,519.4,3.4,13.4,100.2,0.4,0.9,83.3
Tyler Allgeier,ATL,136.4,500.3,2.9,17,132.3,0.6,1.2,81.5
Nyheim Hines,IND,69.7,276.4,1.8,44.1,345.8,1.8,1.6,80.6
Isaiah Spiller,LAC,91.6,388.2,2.9,22.7,183.5,1.3,1.2,79.9
Rachaad White,TB,93.6,374.3,3.4,21.2,168.3,1.1,1,79.5
Gus Edwards,BAL,115.3,501.7,3.5,8.9,74.9,0.2,0.7,78.6
Rex Burkhead,HOU,74,316.3,2.4,29.6,239.4,1.2,0.5,75.8
J.D. McKissic,WAS,51.8,215.9,1.4,44.8,348.7,1.9,0.5,75
Zamir White,LV,92.5,393.6,3.5,13.4,110.6,0.5,1.2,72
Khalil Herbert,CHI,114.2,423.2,2.7,16,120.5,0.5,0.9,71.4
Darrel Williams,ARI,76.2,294.4,2.7,20.5,172.1,0.8,0.8,66
D'Onta Foreman,CAR,85.8,404.7,2.6,7.7,70.4,0.2,0.9,62.3
Jerick McKinnon,KC,48.2,224,1.6,27.9,228.8,1.4,0.5,62
Damien Williams,ATL,77.6,280.8,2,20.1,146,0.8,0.8,57.5
Isiah Pacheco,KC,69.3,284.4,2.5,13.9,104.9,0.5,0.9,54.9
Boston Scott,PHI,67.5,293.8,3,8.7,65.3,0.2,0.3,54.7
Kenyan Drake,BAL,60,251.2,1.7,20,148.4,0.7,0.6,53
Dontrell Hilliard,TEN,47.2,237.6,1.5,25.9,183.1,0.6,1,53
Matt Breida,NYG,72.4,301.4,1.5,13,101.2,0.7,1.5,50.4
Ameer Abdullah,LV,36.2,166.3,0.8,30.9,235.4,1,0.4,50.3
Ronald Jones II,KC,56.4,282.8,2.5,9.2,61.5,0.2,0.6,49.6
Samaje Perine,CIN,65.8,253.3,1.3,18.2,128.2,0.6,0.5,49
Hassan Haskins,TEN,66.6,270.4,1.8,8.4,65.3,0.4,0.8,44.9
Tyrion Davis-Price,SF,51.1,212.7,1.8,10.3,89.8,0.3,0.8,41.3
Chuba Hubbard,CAR,52.5,205.1,1.5,13.1,90.8,0.5,0.5,40.5
Mike Davis,BAL,41.8,221.5,1.6,11.9,78.9,0.2,0.7,39.5
Eno Benjamin,ARI,47.7,205.6,1.5,8.1,67.7,0.2,0.2,36.8
Ke'Shawn Vaughn,TB,47.1,198.6,1.9,6.8,46.7,0.1,0.6,35.6
D'Ernest Johnson,CLE,32.3,191.7,1.3,8.9,71.1,0.2,0.1,35.4
Jeff Wilson Jr.,SF,46.4,168.5,1.5,10.1,74.2,0.6,0.6,35.4
Kyle Juszczyk,SF,12.2,38.8,0.6,24.4,200.3,1.2,0.1,35
Joshua Kelley,LAC,45.3,208,1.2,8,58.7,0.2,0.9,33.8
Craig Reynolds,DET,36.6,180.4,0.8,10.4,78.9,0.4,0.4,32.5
Brandon Bolden,LV,24.8,105.3,0.7,16.7,153.4,0.5,0.4,32.2
Justin Jackson,DET,25.1,146.9,1.1,9.3,72.9,0.4,0.1,30.4
Chris Evans,CIN,27.4,100.3,0.6,15.6,112.8,0.8,0.1,29.3
Travis Homer,SEA,17.2,94.2,0.6,11.6,93.1,0.5,0.1,25.3
J.J. Taylor,NE,22.3,121.9,1.4,4.3,29.3,0.2,0.1,24.4
Zack Moss,BUF,30.2,136.2,1,4.7,34.5,0.2,0.1,24.2
Benny Snell Jr.,PIT,37.6,149,0.9,4.4,30.3,0.1,0.2,23.3
Kyren Williams,LAR,15.7,111.1,1.2,5.5,43.7,0.1,0.2,23
Jermar Jefferson,DET,26.9,114,1.3,4.8,32.5,0,0,22.7
Ty Montgomery,NE,17.6,71.2,0.3,15.2,118.7,0.3,0.2,22.1
Pierre Strong Jr.,NE,20.4,115.8,1,5.1,39.2,0.1,0.1,22
Dare Ogunbowale,HOU,10.2,89.4,0.5,10.2,80.9,0.3,0.1,21.8
Myles Gaskin,MIA,20.6,111.2,0.6,8.8,55.3,0.1,0.3,20.5
Jaylen Warren,PIT,26.8,122.2,0.9,3.9,25,0.1,0.2,20.2
Anthony McFarland Jr.,PIT,18.4,102.3,0.6,5.1,37.4,0.4,0.1,20.1
DeeJay Dallas,SEA,15.9,81.8,0.6,9,61.2,0.2,0.1,18.8
Trey Sermon,SF,20.5,84.3,0.9,6,40.8,0.1,0.1,18.3
Tony Jones Jr.,NO,28.3,113.7,0.5,5.3,37.1,0.1,0,18.2
Gary Brightwell,NYG,22.7,87.1,0.7,5.9,45,0.1,0.1,17.8
Giovani Bernard,TB,16.1,66.5,0.4,7.8,56,0.5,0.1,17.4
Trestan Ebner,CHI,7.8,69.3,0.5,6.6,50.9,0.2,0.1,16.3
Demetric Felton Jr.,CLE,2.7,24.4,0.1,10.9,100.6,0.7,0.5,16.2
Tory Carter,TEN,9.5,44.5,0.5,6.9,49.7,0.6,0,15.9
Keaontay Ingram,ARI,25.1,102.8,0.5,3.1,25.6,0,0,15.7
Kene Nwangwu,MIN,21.5,84.3,0.6,3.9,24.8,0.1,0.1,15.3
Tyler Badie,BAL,21.1,100.9,0.5,2.6,19.9,0,0,15.1
JaMycal Hasty,SF,15,48.4,0.6,8,57.7,0.1,0,14.7
Darwin Thompson,SEA,0,75.6,0.6,3.8,28.8,0.2,0.1,14.5
Mike Boone,DEN,14,75,0.7,3.5,25.4,0.1,0,14.5
Darrynton Evans,CHI,18.5,80,0.5,3.8,28,0.1,0.1,14.4
Snoop Conner,JAC,20.2,82.2,0.4,4.6,32.8,0.1,0.1,14.2
Jerome Ford,CLE,17,84.7,0.5,2,18,0,0,13.4
Patrick Taylor Jr.,GB,5.3,66.6,0.6,3,20.5,0.1,0.1,12.6
Patrick Ricard,BAL,2.7,7,0.1,10.1,68.9,0.7,0,12.3
Dwayne Washington,NO,16.9,48.3,0.4,4.7,38.9,0.2,0.1,11.9
C.J. Ham,MIN,5.5,15.3,0.1,9.7,69.9,0.4,0,11.4
Ty'Son Williams,IND,13.6,64.8,0.4,2.5,20.7,0.1,0,11.3
Rico Dowdle,DAL,13.2,56.1,0.3,3.9,30.6,0.1,0.1,11
Kylin Hill,GB,11.2,43.6,0.1,6.6,49.2,0.1,0,10.4
